List	Display	POS	Source Entry ID	Hebrew source	A2 definition or synonyms	English example	Hebrew example	Record sense (English)	Record sense (Hebrew)	Repeated entry	Same-entry record IDs	Sense scope
B	name	Verb	B2-037	כִּנָּה; קרא בשם; שִׁיֵּם	give a title to or identify	They named the new library after a local writer.	הם קראו לספרייה החדשה על שם סופר מקומי.	give a title to or identify	כִּנָּה; קרא בשם; שִׁיֵּם	TRUE	C1-081	record-specific
B	native	Adjective	B2-035	ילידי; מקומי; שפת אם	connected with the place where someone was born	Hebrew is her native language.	עברית היא שפת האם שלה.	connected with the place where someone was born	ילידי; מקומי; שפת אם	FALSE		single-entry
B	neither ... nor	Phrase	B2-066	לא... ולא	not the first choice and not the second choice	Neither the teacher nor the student was late.	לא המורה ולא התלמיד איחרו.	not the first choice and not the second choice	לא... ולא	FALSE		single-entry
B	nightmare	Noun	B3-074	סִיּוּט; חֲלוֹם בַּלָּהוֹת	a frightening dream or very unpleasant situation	Missing the last train was a nightmare.	החמצת הרכבת האחרונה הייתה סיוט.	a frightening dream or very unpleasant situation	סִיּוּט; חֲלוֹם בַּלָּהוֹת	FALSE		single-entry
B	nonsense	Noun	B3-022	שְׁטוּת; נוֹנְסֶנְס	words or ideas with no meaning or truth	The rumor was complete nonsense.	השמועה הייתה שטות גמורה.	words or ideas with no meaning or truth	שְׁטוּת; נוֹנְסֶנְס	FALSE		single-entry
B	not ... a word	Phrase	B2-049	אף מילה; שום דבר	used to say that nothing was heard, said or understood	I did not understand a word of the speech.	לא הבנתי אף מילה מהנאום.	used to say that nothing was heard, said or understood	אף מילה; שום דבר	FALSE		single-entry
B	not until	Phrase	B1-007	רק לאחר; לא לפני	only after a particular time or event	We did not leave until the rain stopped.	לא יצאנו עד שהגשם פסק.	only after a particular time or event	רק לאחר; לא לפני	FALSE		single-entry
B	occupation	Noun	B2-008	מִקְצוֹעַ; מִשְׁלַח יָד; עִסּוּק	a job; the act of using or controlling a place	Please write your occupation on the form.	נא לכתוב את עיסוקכם בטופס.	a job; the act of using or controlling a place	מִקְצוֹעַ; מִשְׁלַח יָד; עִסּוּק	FALSE		single-entry
B	occupy	Verb	B2-060	לתפוס מקום; לאכלס; להעסיק	use, fill or take control of a space or time	The sofa occupies most of the room.	הספה תופסת את רוב החדר.	use, fill or take control of a space or time	לתפוס מקום; לאכלס; להעסיק	FALSE		single-entry
B	oil	Noun	B3-062	שֶׁמֶן; דֶּלֶק; נֵפְט	a thick liquid used as fuel, food or machine protection	Heat a little oil in the pan.	חממו מעט שמן במחבת.	a thick liquid used as fuel, food or machine protection	שֶׁמֶן; דֶּלֶק; נֵפְט	FALSE		single-entry
B	on the whole	Phrase	B2-028	בסך הכול; באופן כללי	when considering everything together	On the whole, the trip was successful.	בסך הכול, הטיול היה מוצלח.	when considering everything together	בסך הכול; באופן כללי	FALSE		single-entry
B	open	Verb	B1-044	פָּתַח; נִפְתַּח	make something no longer closed; begin operating	Please open the window.	נא לפתוח את החלון.	make something no longer closed; begin operating	פָּתַח; נִפְתַּח	FALSE		single-entry
B	operate	Verb	B3-069	הִפְעִיל; תִּפְעֵל	control a machine; perform medical treatment	Only trained staff may operate the machine.	רק עובדים שהוכשרו רשאים להפעיל את המכונה.	control a machine; perform medical treatment	הִפְעִיל; תִּפְעֵל	FALSE		single-entry
B	organ	Noun	B2-009	איבר בגוף; אורגן; עוגב	a body part with a special job; a large musical instrument	The heart is a vital organ.	הלב הוא איבר חיוני.	a body part with a special job; a large musical instrument	איבר בגוף; אורגן; עוגב	FALSE		single-entry
B	organization	Noun	B3-027	אִרְגּוּן	an official group; the act of arranging things	She works for an international organization.	היא עובדת בארגון בין־לאומי.	an official group; the act of arranging things	אִרְגּוּן	FALSE		single-entry
B	outstanding	Adjective	B3-014	מְצֻיָּן; יוֹצֵא מִן הַכְּלָל; מְעֻלֶּה	extremely good; not yet completed or paid	She received an award for outstanding work.	היא קיבלה פרס על עבודה יוצאת מן הכלל.	extremely good; not yet completed or paid	מְצֻיָּן; יוֹצֵא מִן הַכְּלָל; מְעֻלֶּה	FALSE		single-entry
B	part-time	Phrase	B3-037	במשרה חלקית	for fewer hours than a full working week	She has a part-time job at a café.	יש לה עבודה במשרה חלקית בבית קפה.	for fewer hours than a full working week	במשרה חלקית	FALSE		single-entry
B	patient	Adjective	B1-053	סַבְלָנִי; סַבְלָן	able to wait calmly	Please be patient while the page loads.	אנא התאזרו בסבלנות בזמן שהדף נטען.	able to wait calmly	סַבְלָנִי; סַבְלָן	FALSE		single-entry
B	peculiar	Adjective	B2-046	מוּזָר; יוֹצֵא דֹּפֶן; מְיֻחָד	strange or unusual	There was a peculiar smell in the room.	היה בחדר ריח מוזר.	strange or unusual	מוּזָר; יוֹצֵא דֹּפֶן; מְיֻחָד	FALSE		single-entry
B	place	Noun	B1-018	מָקוֹם; מֶרְחָב; מַעֲמָד	a particular area, position or point	This quiet place is perfect for reading.	המקום השקט הזה מושלם לקריאה.	a particular area, position or point	מָקוֹם; מֶרְחָב; מַעֲמָד	FALSE		single-entry
B	point	Noun	B3-021	נקודה; טענה; רעיון	an idea, purpose, score or exact place	The speaker made an important point.	הדובר העלה נקודה חשובה.	an idea, purpose, score or exact place	נקודה; טענה; רעיון	TRUE	B1-042	record-specific
B	point	Verb	B1-042	הִצְבִּיעַ; כִּוֵּן; חִדֵּד	show a direction with a finger or object	She pointed to the correct answer.	היא הצביעה על התשובה הנכונה.	show a direction with a finger or object	הִצְבִּיעַ; כִּוֵּן; חִדֵּד	TRUE	B3-021	record-specific
B	position	Noun	B3-068	עמדה; מיקום; תפקיד; משרה	a place, job or opinion	He applied for a teaching position.	הוא הגיש מועמדות למשרת הוראה.	a place, job or opinion	עמדה; מיקום; תפקיד; משרה	TRUE	C2-006	record-specific
B	potential	Noun	B3-047	פוטנציאל; יכולת עתידית	the ability to develop or succeed in the future	The young player has great potential.	לשחקן הצעיר יש פוטנציאל רב.	the ability to develop or succeed in the future	פוטנציאל; יכולת עתידית	FALSE		single-entry
B	preference	Noun	B1-058	הַעֲדָפָה; עֲדִיפוּת	a greater liking for one choice	She expressed a preference for the morning class.	היא הביעה העדפה לשיעור הבוקר.	a greater liking for one choice	הַעֲדָפָה; עֲדִיפוּת	FALSE		single-entry
B	present	Verb	B1-072	הִצִּיג; הֶעֱנִיק; הִנְכִּיחַ	show, give or formally introduce something	Each group will present its project tomorrow.	כל קבוצה תציג את הפרויקט שלה מחר.	show, give or formally introduce something	הִצִּיג; הֶעֱנִיק; הִנְכִּיחַ	FALSE		single-entry
B	pressure	Noun	B2-007	לַחַץ	force; worry caused by demands	Students often feel pressure before exams.	תלמידים חשים לעיתים קרובות לחץ לפני מבחנים.	force; worry caused by demands	לַחַץ	FALSE		single-entry
B	prime	Adjective	B1-026	רָאשִׁי; מְשֻׁבָּח; מֻבְחָר	main or most important	Safety is our prime concern.	הבטיחות היא הדאגה העיקרית שלנו.	main or most important	רָאשִׁי; מְשֻׁבָּח; מֻבְחָר	FALSE		single-entry
B	principal	Adjective	B2-079	עִקָּרִי; רָאשִׁי	main or most important	The principal reason for the delay was heavy traffic.	הסיבה העיקרית לעיכוב הייתה עומס תנועה כבד.	main or most important	עִקָּרִי; רָאשִׁי	TRUE	B3-036	record-specific
B	principal	Noun	B3-036	מנהל או מנהלת בית ספר	the head of a school	The principal welcomed the new students.	מנהל בית הספר קיבל את פני התלמידים החדשים.	the head of a school	מנהל או מנהלת בית ספר	TRUE	B2-079	record-specific
B	promote	Verb	B1-006	קִדֵּם; הֶעֱלָה	support, advertise or move someone to a higher job	The campaign promotes healthy eating.	מסע הפרסום מקדם תזונה בריאה.	support, advertise or move someone to a higher job	קִדֵּם; הֶעֱלָה	FALSE		single-entry
B	put up with	Phrase	B2-002	לסבול; להשלים עם	accept an unpleasant situation without complaining	I cannot put up with this noise any longer.	איני יכול לסבול עוד את הרעש הזה.	accept an unpleasant situation without complaining	לסבול; להשלים עם	FALSE		single-entry
B	reach	Noun	B3-043	הַשָּׂגָה; הוֹשָׁטָה; הישג יד	the distance that someone can touch or influence	Keep the medicine out of children’s reach.	שמרו את התרופה הרחק מהישג ידם של ילדים.	the distance that someone can touch or influence	הַשָּׂגָה; הוֹשָׁטָה; הישג יד	TRUE	B2-033	record-specific
B	reach	Verb	B2-033	הִגִּיעַ; הִשִּׂיג; הוֹשִׁיט	arrive at or stretch far enough to touch	We reached the station before noon.	הגענו לתחנה לפני הצהריים.	arrive at or stretch far enough to touch	הִגִּיעַ; הִשִּׂיג; הוֹשִׁיט	TRUE	B3-043	record-specific
B	reason	Noun	B1-010	סִבָּה; נִמּוּק; הִגָּיוֹן	a cause or explanation for an action or event	What was the reason for the change?	מה הייתה הסיבה לשינוי?	a cause or explanation for an action or event	סִבָּה; נִמּוּק; הִגָּיוֹן	FALSE		single-entry
B	record	Noun	B2-077	רשומה; תיעוד; שיא	stored information; the best result achieved	The school keeps a record of attendance.	בית הספר מנהל רישום נוכחות.	stored information; the best result achieved	רשומה; תיעוד; שיא	TRUE	B3-038	record-specific
B	record	Verb	B3-038	רָשַׁם; הִקְלִיט	store sound, pictures or information	Students recorded a short interview.	התלמידים הקליטו ריאיון קצר.	store sound, pictures or information	רָשַׁם; הִקְלִיט	TRUE	B2-077	record-specific
B	reflect	Verb	B1-068	שִׁקֵּף; החזיר אור; הִרְהֵר	show an image; show or think deeply about something	The results reflect the students’ hard work.	התוצאות משקפות את עבודתם הקשה של התלמידים.	show an image; show or think deeply about something	שִׁקֵּף; החזיר אור; הִרְהֵר	FALSE		single-entry
B	register	Noun	B2-054	רשימה רשמית; מרשם	an official list of names or information	The teacher checked the class register.	המורה בדק את יומן הנוכחות של הכיתה.	an official list of names or information	רשימה רשמית; מרשם	TRUE	B1-031	record-specific
B	register	Verb	B1-031	רָשַׁם; נִרְשַׁם	put a name or information on an official list	You must register before the course begins.	עליכם להירשם לפני תחילת הקורס.	put a name or information on an official list	רָשַׁם; נִרְשַׁם	TRUE	B2-054	record-specific
B	regret	Noun	B3-072	חֲרָטָה; צַעַר	sadness about something done or missed	Her only regret was leaving too early.	חרטתה היחידה הייתה שעזבה מוקדם מדי.	sadness about something done or missed	חֲרָטָה; צַעַר	TRUE	B2-051	record-specific
B	regret	Verb	B2-051	הִתְחָרֵט; הִצְטַעֵר	feel sorry about something	I regret not asking for help sooner.	אני מצטער שלא ביקשתי עזרה מוקדם יותר.	feel sorry about something	הִתְחָרֵט; הִצְטַעֵר	TRUE	B3-072	record-specific
B	relate	Verb	B2-016	לקשר; להתייחס; לספר	connect things; understand someone’s experience	The examples relate directly to the topic.	הדוגמאות קשורות ישירות לנושא.	connect things; understand someone’s experience	לקשר; להתייחס; לספר	FALSE		single-entry
B	relax	Verb	B1-022	נִרְגַּע; הִרְפָּה; רִפָּה	rest and become less worried	I like to relax by reading.	אני אוהב להירגע בקריאה.	rest and become less worried	נִרְגַּע; הִרְפָּה; רִפָּה	FALSE		single-entry
B	remark	Noun	B1-017	הֶעָרָה	a spoken or written comment	His final remark made everyone laugh.	הערתו האחרונה הצחיקה את כולם.	a spoken or written comment	הֶעָרָה	TRUE	B1-047	record-specific
B	remark	Verb	B1-047	להעיר; לציין	say or write a comment	She remarked that the room was unusually quiet.	היא העירה שהחדר היה שקט באופן יוצא דופן.	say or write a comment	להעיר; לציין	TRUE	B1-017	record-specific
B	remote	Adjective	B2-069	מְרֻחָק; רָחוֹק	far away; controlled from a distance	They live in a remote mountain village.	הם גרים בכפר הררי מרוחק.	far away; controlled from a distance	מְרֻחָק; רָחוֹק	FALSE		single-entry
B	replace	Verb	B1-080	הֶחְלִיף	put one person or thing instead of another	We need to replace the broken chair.	אנחנו צריכים להחליף את הכיסא השבור.	put one person or thing instead of another	הֶחְלִיף	FALSE		single-entry
B	rescue	Noun	B1-049	הַצָּלָה	an act of saving someone from danger	The rescue took several hours.	פעולת החילוץ נמשכה כמה שעות.	an act of saving someone from danger	הַצָּלָה	TRUE	B1-075	record-specific
B	rescue	Verb	B1-075	הִצִּיל; הוֹשִׁיעַ	save someone from danger	Firefighters rescued the family.	לוחמי האש חילצו את המשפחה.	save someone from danger	הִצִּיל; הוֹשִׁיעַ	TRUE	B1-049	record-specific
B	respect	Noun	B3-015	כבוד; הערכה	admiration or polite treatment	The students showed respect for one another.	התלמידים הפגינו כבוד זה לזה.	admiration or polite treatment	כבוד; הערכה	TRUE	B3-020	record-specific
B	respect	Verb	B3-020	כִּבֵּד; הוֹקִיר	admire or treat someone well	We should respect different opinions.	עלינו לכבד דעות שונות.	admire or treat someone well	כִּבֵּד; הוֹקִיר	TRUE	B3-015	record-specific
B	retire	Verb	B1-061	לפרוש; לצאת לגמלאות	stop working because of age or after a long career	She plans to retire next year.	היא מתכננת לפרוש בשנה הבאה.	stop working because of age or after a long career	לפרוש; לצאת לגמלאות	FALSE		single-entry
B	right	Adjective	B2-045	נָכוֹן; צוֹדֵק	correct, suitable or on the side opposite left	You chose the right answer.	בחרתם בתשובה הנכונה.	correct, suitable or on the side opposite left	נָכוֹן; צוֹדֵק	FALSE		single-entry
B	role	Noun	B1-008	תַּפְקִיד	a function, duty or acting part	Parents play an important role in education.	להורים יש תפקיד חשוב בחינוך.	a function, duty or acting part	תַּפְקִיד	FALSE		single-entry
B	room	Noun	B1-032	חֶדֶר; מָקוֹם; מִרְוָח	a part of a building; available space	There is enough room for one more chair.	יש מספיק מקום לכיסא נוסף.	a part of a building; available space	חֶדֶר; מָקוֹם; מִרְוָח	FALSE		single-entry
B	rough	Adjective	B1-043	קָשֶׁה; מְחֻסְפָּס; גָּלְמִי	not smooth; difficult or violent	The sea was rough during the storm.	הים היה סוער במהלך הסופה.	not smooth; difficult or violent	קָשֶׁה; מְחֻסְפָּס; גָּלְמִי	FALSE		single-entry
B	rule	Noun	B1-056	חֹק; הוֹרָאָה; שִׁלְטוֹן	an official instruction about what is allowed	The school has a rule against running indoors.	בבית הספר יש כלל האוסר לרוץ בתוך המבנה.	an official instruction about what is allowed	חֹק; הוֹרָאָה; שִׁלְטוֹן	TRUE	B1-079	record-specific
B	rule	Verb	B1-079	מָשַׁל; שָׁלַט; פָּסַק	control or govern a country or group	The queen ruled the country for many years.	המלכה שלטה במדינה במשך שנים רבות.	control or govern a country or group	מָשַׁל; שָׁלַט; פָּסַק	TRUE	B1-056	record-specific
B	run	Verb	B3-035	רָץ; הִתְנַהֵל; נֶעֱרַךְ	move quickly on foot; manage or operate	She runs a small bookshop.	היא מנהלת חנות ספרים קטנה.	move quickly on foot; manage or operate	רָץ; הִתְנַהֵל; נֶעֱרַךְ	FALSE		single-entry
B	rush	Noun	B2-019	מהירות; דחיפות; עומס	a sudden quick movement or very busy period	There was a morning rush at the station.	בשעות הבוקר היה עומס בתחנה.	a sudden quick movement or very busy period	מהירות; דחיפות; עומס	TRUE	B3-025	record-specific
B	rush	Verb	B3-025	מִהֵר; נֶחְפַּז; הֵחִישׁ	move or act very quickly	Do not rush your answer.	אל תמהרו לענות.	move or act very quickly	מִהֵר; נֶחְפַּז; הֵחִישׁ	TRUE	B2-019	record-specific
B	satisfy	Verb	B2-011	לספק; להשביע רצון	meet a need or make someone pleased	The solution satisfied everyone.	הפתרון השביע את רצון כולם.	meet a need or make someone pleased	לספק; להשביע רצון	FALSE		single-entry
B	scale	Noun	B2-047	סֻלָּם; סְקָלָה; קְנֵה מִדָּה	a set of levels; a device for measuring weight	Rate each answer on a scale from one to five.	דרגו כל תשובה בסולם של אחת עד חמש.	a set of levels; a device for measuring weight	סֻלָּם; סְקָלָה; קְנֵה מִדָּה	FALSE		single-entry
B	scene	Noun	B1-037	סְצֶנָה; מַעֲרָכָה; זירת ההתרחשות	a part of a play or film; the place of an event	The final scene of the film was moving.	הסצנה האחרונה בסרט הייתה מרגשת.	a part of a play or film; the place of an event	סְצֶנָה; מַעֲרָכָה; זירת ההתרחשות	FALSE		single-entry
B	schedule	Noun	B3-031	לוּחַ זְמַנִּים; תָּכְנִית; נִסְפָּח	a plan showing times for activities	The train arrived according to schedule.	הרכבת הגיעה לפי לוח הזמנים.	a plan showing times for activities	לוּחַ זְמַנִּים; תָּכְנִית; נִסְפָּח	FALSE		single-entry
B	sensitive	Adjective	B2-013	רָגִישׁ	easily affected; needing careful treatment	This is a sensitive subject for many people.	זהו נושא רגיש עבור אנשים רבים.	easily affected; needing careful treatment	רָגִישׁ	FALSE		single-entry
B	service	Noun	B1-050	שֵׁרוּת; טֶקֶס; דְּרָשָׁה	work or help provided for people	The hotel offers a free bus service.	המלון מציע שירות הסעות חינם.	work or help provided for people	שֵׁרוּת; טֶקֶס; דְּרָשָׁה	FALSE		single-entry
B	set	Verb	B1-055	הִנִּיחַ; שָׂם; קִבֵּעַ	put in a place; decide or fix a time or level	We set a date for the next meeting.	קבענו תאריך לפגישה הבאה.	put in a place; decide or fix a time or level	הִנִּיחַ; שָׂם; קִבֵּעַ	FALSE		single-entry
B	setting	Noun	B3-075	תַּפְאוּרָה; רֶקַע; סְבִיבָה	the place and time of an event or story	The village is the setting of the novel.	הכפר הוא מקום התרחשות העלילה של הרומן.	the place and time of an event or story	תַּפְאוּרָה; רֶקַע; סְבִיבָה	FALSE		single-entry
B	shortly	Adverb	B3-079	בקרוב; תוך זמן קצר; בקצרה	soon; in a few words	The train will arrive shortly.	הרכבת תגיע בקרוב.	soon; in a few words	בקרוב; תוך זמן קצר; בקצרה	FALSE		single-entry
B	shut down	Phrase	B3-001	לסגור; להשבית	close a place or stop a machine from working	The factory shut down for repairs.	המפעל נסגר לצורך תיקונים.	close a place or stop a machine from working	לסגור; להשבית	FALSE		single-entry
B	similarity	Noun	B3-003	דִּמְיוֹן; הַקְבָּלָה	a way in which people or things are alike	There is a clear similarity between the two designs.	יש דמיון ברור בין שני העיצובים.	a way in which people or things are alike	דִּמְיוֹן; הַקְבָּלָה	FALSE		single-entry
B	slow down/up	Phrase	B3-028	להאט; להאיץ	make someone or something move less or more quickly	Please slow down near the school.	נא להאט ליד בית הספר.	make someone or something move less or more quickly	להאט; להאיץ	FALSE		single-entry
B	so-called	Phrase	B3-051	מה שמכונה; כביכול	used for a name that may not be correct	The so-called expert could not answer the question.	המומחה כביכול לא הצליח לענות על השאלה.	used for a name that may not be correct	מה שמכונה; כביכול	FALSE		single-entry
B	society	Noun	B1-046	חֶבְרָה; אֲגֻדָּה	people living together in an organized community	Technology has changed modern society.	הטכנולוגיה שינתה את החברה המודרנית.	people living together in an organized community	חֶבְרָה; אֲגֻדָּה	FALSE		single-entry
B	sooner or later	Phrase	B3-058	במוקדם או במאוחר	at some time in the future, even if the time is unknown	Sooner or later, we will need to replace the old computer.	במוקדם או במאוחר, נצטרך להחליף את המחשב הישן.	at some time in the future, even if the time is unknown	במוקדם או במאוחר	FALSE		single-entry
B	spectacular	Adjective	B2-001	מַרְהִיב עַיִן; מַדְהִים; מְהַמֵּם	very impressive or beautiful	We watched a spectacular sunset.	צפינו בשקיעה מרהיבה.	very impressive or beautiful	מַרְהִיב עַיִן; מַדְהִים; מְהַמֵּם	FALSE		single-entry
B	speech	Noun	B3-034	דִּבּוּר; נְאוּם; הַרְצָאָה	a formal talk; the ability to speak	The student gave a short speech at the ceremony.	התלמיד נשא נאום קצר בטקס.	a formal talk; the ability to speak	דִּבּוּר; נְאוּם; הַרְצָאָה	FALSE		single-entry
B	spoil	Verb	B2-005	קִלְקֵל; הִשְׁחִית; פִּנֵּק	damage or ruin; give someone too much	Do not let the rain spoil the picnic.	אל תתנו לגשם להרוס את הפיקניק.	damage or ruin; give someone too much	קִלְקֵל; הִשְׁחִית; פִּנֵּק	FALSE		single-entry
B	start off	Phrase	B2-052	להתחיל	begin an activity or journey in a particular way	The lesson started off with a short game.	השיעור התחיל במשחק קצר.	begin an activity or journey in a particular way	להתחיל	FALSE		single-entry
B	style	Noun	B2-080	סִגְנוֹן; אָפְנָה; סְטַיְל	a particular way of doing, writing or designing	The writer has a clear and simple style.	לסופר יש סגנון ברור ופשוט.	a particular way of doing, writing or designing	סִגְנוֹן; אָפְנָה; סְטַיְל	FALSE		single-entry
B	sum up	Phrase	B3-013	לסכם	state the main ideas in a short form	Please sum up the article in two sentences.	נא לסכם את המאמר בשני משפטים.	state the main ideas in a short form	לסכם	FALSE		single-entry
B	summary	Noun	B3-054	סִכּוּם; תַּמְצִית	a short statement of the main points	Write a brief summary of the article.	כתבו סיכום קצר של המאמר.	a short statement of the main points	סִכּוּם; תַּמְצִית	FALSE		single-entry
B	support	Noun	B2-031	תְּמִיכָה	help, agreement or something that holds an object	The student received support from her teacher.	התלמידה קיבלה תמיכה מהמורה שלה.	help, agreement or something that holds an object	תְּמִיכָה	TRUE	B1-059	record-specific
B	support	Verb	B1-059	תָּמַךְ; סִיֵּעַ; פִּרְנֵס	help, agree with or hold up	Her family supported her decision.	משפחתה תמכה בהחלטתה.	help, agree with or hold up	תָּמַךְ; סִיֵּעַ; פִּרְנֵס	TRUE	B2-031	record-specific
B	survive	Verb	B1-052	שָׂרַד	continue to live or exist after danger	Few plants can survive without water.	צמחים מעטים יכולים לשרוד ללא מים.	continue to live or exist after danger	שָׂרַד	FALSE		single-entry
B	take into account	Phrase	B3-042	להביא בחשבון	consider a fact when making a decision	We must take the weather into account.	עלינו להביא בחשבון את מזג האוויר.	consider a fact when making a decision	להביא בחשבון	FALSE		single-entry
B	take part	Phrase	B1-003	להשתתף	join and be involved in an activity	Every student can take part in the competition.	כל תלמיד יכול להשתתף בתחרות.	join and be involved in an activity	להשתתף	FALSE		single-entry
B	take place	Phrase	B3-029	להתרחש; להתקיים	happen at a particular time or place	The ceremony will take place on Monday.	הטקס יתקיים ביום שני.	happen at a particular time or place	להתרחש; להתקיים	FALSE		single-entry
B	take seriously	Phrase	B2-003	להתייחס ברצינות	treat someone or something as important and real	You should take this warning seriously.	עליכם להתייחס לאזהרה הזאת ברצינות.	treat someone or something as important and real	להתייחס ברצינות	FALSE		single-entry
B	take the opportunity	Phrase	B2-006	לנצל את ההזדמנות	use a suitable chance to do something	I took the opportunity to thank my teacher.	ניצלתי את ההזדמנות להודות למורה שלי.	use a suitable chance to do something	לנצל את ההזדמנות	FALSE		single-entry
B	take/accept/claim responsibility	Phrase	B3-016	לקבל אחריות; ליטול אחריות	accept that you have a duty or caused something	The manager accepted responsibility for the mistake.	המנהל קיבל אחריות על הטעות.	accept that you have a duty or caused something	לקבל אחריות; ליטול אחריות	FALSE		single-entry
B	the headlines	Phrase	B3-052	הכותרות הראשיות	the titles of the most important news stories	The election result was in the headlines.	תוצאת הבחירות הופיעה בכותרות.	the titles of the most important news stories	הכותרות הראשיות	FALSE		single-entry
B	the heart of	Phrase	B1-016	לב העניין; המרכז של	the central or most important part of something	Trust is at the heart of a good friendship.	אמון עומד בלבה של ידידות טובה.	the central or most important part of something	לב העניין; המרכז של	FALSE		single-entry
B	the main thing	Phrase	B1-023	הדבר העיקרי	the most important fact, idea or goal	The main thing is that everyone is safe.	העיקר הוא שכולם בטוחים.	the most important fact, idea or goal	הדבר העיקרי	FALSE		single-entry
B	the reality of	Phrase	B2-076	המציאות של	the situation as it really is	The report describes the reality of life in the city.	הדוח מתאר את מציאות החיים בעיר.	the situation as it really is	המציאות של	FALSE		single-entry
B	theme	Noun	B2-036	תֶּמָה; נוֹשֵׂא	the main subject or idea	Friendship is the central theme of the story.	חברות היא הנושא המרכזי של הסיפור.	the main subject or idea	תֶּמָה; נוֹשֵׂא	FALSE		single-entry
B	to	Preposition	B3-017	ל־; אל; עד	used for direction, a receiver or the end of a range	The shop is open from nine to five.	החנות פתוחה מתשע עד חמש.	used for direction, a receiver or the end of a range	ל־; אל; עד	FALSE		single-entry
B	to start with	Phrase	B3-046	בתור התחלה; ראשית	used to introduce the first point or situation	To start with, read the title carefully.	ראשית, קראו את הכותרת בעיון.	used to introduce the first point or situation	בתור התחלה; ראשית	FALSE		single-entry
B	treasure	Noun	B2-050	אוֹצָר; מַטְמוֹן	valuable objects or something greatly loved	The divers found an ancient treasure.	הצוללנים מצאו אוצר עתיק.	valuable objects or something greatly loved	אוֹצָר; מַטְמוֹן	FALSE		single-entry
B	try	Noun	B1-005	נִסָּיוֹן; מַאֲמָץ	an attempt to do something	Give the question another try.	נסו לענות על השאלה פעם נוספת.	an attempt to do something	נִסָּיוֹן; מַאֲמָץ	FALSE		single-entry
B	turn	Noun	B1-030	סִיבוּב; פְּנִיָּה; תּוֹר	a change of direction; a person’s time to act	It is your turn to answer.	תורכם לענות.	a change of direction; a person’s time to act	סִיבוּב; פְּנִיָּה; תּוֹר	FALSE		single-entry
B	uncomfortable	Adjective	B3-070	לא נוח	not relaxed, pleasant or physically easy	The chair was hard and uncomfortable.	הכיסא היה קשה ולא נוח.	not relaxed, pleasant or physically easy	לא נוח	FALSE		single-entry
B	underneath	Adverb	B1-011	מתחת; מלמטה	in or to a lower position	The box is heavy, but there is a handle underneath.	הארגז כבד, אבל יש ידית מתחתיו.	in or to a lower position	מתחת; מלמטה	TRUE	B1-077	record-specific
B	underneath	Preposition	B1-077	מתחת ל־	directly below someone or something	The keys were underneath the book.	המפתחות היו מתחת לספר.	directly below someone or something	מתחת ל־	TRUE	B1-011	record-specific
B	understand	Verb	B1-067	הֵבִין	know the meaning or reason	I understand the instructions now.	עכשיו אני מבין את ההוראות.	know the meaning or reason	הֵבִין	FALSE		single-entry
B	undo	Verb	B2-070	לבטל פעולה; להתיר; לפתוח	reverse an action; open something tied or fastened	Click this button to undo the last change.	לחצו על הכפתור הזה כדי לבטל את השינוי האחרון.	reverse an action; open something tied or fastened	לבטל פעולה; להתיר; לפתוח	FALSE		single-entry
B	unemployed	Adjective	B2-015	מֻבְטָל; בָּטֵל	without a paid job	He was unemployed for three months.	הוא היה מובטל במשך שלושה חודשים.	without a paid job	מֻבְטָל; בָּטֵל	FALSE		single-entry
B	unexpected	Adjective	B1-033	בִּלְתִּי צָפוּי	not planned or believed likely to happen	An unexpected guest arrived at dinner time.	אורח בלתי צפוי הגיע בזמן ארוחת הערב.	not planned or believed likely to happen	בִּלְתִּי צָפוּי	FALSE		single-entry
B	up-to-date	Phrase	B2-021	מעודכן; עדכני	containing the newest information	The website gives up-to-date travel information.	האתר מספק מידע עדכני על נסיעות.	containing the newest information	מעודכן; עדכני	FALSE		single-entry
B	urgent	Adjective	B3-065	דָּחוּף; בָּהוּל; מִיָּדִי	needing immediate attention	The doctor received an urgent call.	הרופא קיבל שיחה דחופה.	needing immediate attention	דָּחוּף; בָּהוּל; מִיָּדִי	FALSE		single-entry
B	use up	Phrase	B1-039	לנצל עד תום; לגמור	use all of something so that none remains	We used up all the paper.	השתמשנו בכל הנייר.	use all of something so that none remains	לנצל עד תום; לגמור	FALSE		single-entry
B	virtual reality	Phrase	B3-030	מציאות מדומה	a computer-made world that seems real	Students explored the museum through virtual reality.	התלמידים סיירו במוזיאון באמצעות מציאות מדומה.	a computer-made world that seems real	מציאות מדומה	FALSE		single-entry
B	vowel	Noun	B3-063	תנועה בדיבור או בכתב	a speech sound represented by letters such as a, e, i, o or u	The word ’cat’ contains one vowel.	המילה "cat" מכילה אות תנועה אחת.	a speech sound represented by letters such as a, e, i, o or u	תנועה בדיבור או בכתב	FALSE		single-entry
B	waste	Adjective	B3-011	מיותר; פסולת; שנותר ללא שימוש	not wanted and left after use	The factory turns waste material into fuel.	המפעל הופך חומרי פסולת לדלק.	not wanted and left after use	מיותר; פסולת; שנותר ללא שימוש	TRUE	B2-062	record-specific
B	waste	Verb	B2-062	בִּזְבֵּז; הוֹצִיא לָרִיק; אִבֵּד	use badly or use more than needed	Do not waste clean water.	אל תבזבזו מים נקיים.	use badly or use more than needed	בִּזְבֵּז; הוֹצִיא לָרִיק; אִבֵּד	TRUE	B3-011	record-specific
